Transaction_ID,User_ID,Transaction_Amount,Transaction_Type,Time_of_Transaction,Device_Used,Location,Previous_Fraudulent_Transactions,Account_Age,Number_of_Transactions_Last_24H,Payment_Method,Fraudulent
T2356,4609,920.21,POS Payment,7,Desktop,San Francisco,2,73,13,Credit Card,0
T2357,4553,2927.29,Online Purchase,13,Tablet,Miami,3,79,9,Net Banking,0
T2358,2453,,Online Purchase,13,Mobile,New York,4,21,10,UPI,0
T2359,1737,3273.83,ATM Withdrawal,13,Mobile,New York,0,85,1,Invalid Method,0
T2360,4356,4762.21,POS Payment,13,Mobile,Seattle,0,89,6,Debit Card,0
T2361,1515,2646.04,Bill Payment,20,Mobile,Miami,4,87,4,Net Banking,0
T2362,3000,,POS Payment,,Tablet,Miami,1,112,13,Net Banking,0
T2363,4170,3766.44,Bank Transfer,5,Desktop,Seattle,3,59,12,Credit Card,0
T2364,3444,4609.35,POS Payment,6,Mobile,Houston,4,13,11,UPI,0
T2365,4560,1074.02,Online Purchase,19,Desktop,Seattle,4,80,11,UPI,0
T2366,1038,4137.5,Bill Payment,1,Mobile,Chicago,2,89,6,,0
T2367,4342,4528.07,Bill Payment,16,Mobile,Seattle,2,81,3,UPI,0
T2368,1886,1966.85,ATM Withdrawal,19,Tablet,Seattle,3,5,13,Debit Card,0
T2369,3844,1572.51,Bank Transfer,12,Mobile,Chicago,3,52,10,Credit Card,0
T2370,3204,4760.42,Bill Payment,13,Tablet,Los Angeles,1,43,6,UPI,0
T2371,2098,3140.03,ATM Withdrawal,19,Mobile,San Francisco,2,49,3,Net Banking,0
T2372,3931,1906.48,Bill Payment,22,Mobile,Boston,3,57,4,Credit Card,0
T2373,2823,3960.18,Online Purchase,3,Mobile,Los Angeles,4,15,3,Credit Card,0
T2374,4201,1525.85,Bill Payment,23,Mobile,Boston,1,106,5,UPI,0
T2375,2710,886.16,Online Purchase,16,Mobile,,0,21,10,Debit Card,0
T2376,1973,2722.13,POS Payment,0,Tablet,Los Angeles,2,107,6,Debit Card,0
T2377,4155,2833.23,Online Purchase,16,Tablet,Chicago,4,8,11,Net Banking,0
T2378,4093,4129.6,Online Purchase,20,,Los Angeles,4,69,13,Net Banking,0
T2379,4530,2287.85,Online Purchase,18,Tablet,Houston,2,24,7,Invalid Method,1
T2380,2562,4073.86,Bill Payment,3,,Chicago,0,116,11,Debit Card,0
T2381,4778,1560.06,Bank Transfer,,Mobile,Seattle,2,71,13,UPI,0
T2382,3896,2878.96,Online Purchase,13,Mobile,San Francisco,4,13,3,UPI,0
T2383,4453,1046.32,ATM Withdrawal,4,Tablet,New York,1,61,1,UPI,0
T2384,3795,1930.3,Bill Payment,4,Desktop,Houston,0,63,6,Net Banking,0
T2385,4511,4288.41,Bank Transfer,4,Tablet,Miami,4,100,6,Debit Card,1
T2386,4675,1083.86,Bank Transfer,15,Desktop,San Francisco,4,30,13,Debit Card,0
T2387,1988,4052.15,Bill Payment,20,,Boston,3,101,14,Net Banking,0
T2388,1020,1417.94,ATM Withdrawal,10,Tablet,Los Angeles,1,62,7,Net Banking,0
T2389,3350,177.28,POS Payment,0,Desktop,Miami,4,41,4,Net Banking,0
T2390,1868,554.12,Bill Payment,19,,Miami,4,4,13,Credit Card,0
T2391,1083,3730.67,Bank Transfer,15,Desktop,Los Angeles,2,8,9,Credit Card,0
T2392,4845,1314.04,POS Payment,5,Mobile,Miami,2,33,14,UPI,0
T2393,2682,3272.46,Bank Transfer,11,Tablet,Chicago,3,7,4,Debit Card,0
T2394,2976,3497.5,Online Purchase,23,Mobile,New York,4,73,7,Credit Card,0
T2395,4524,1728.87,POS Payment,9,Desktop,Boston,0,91,2,,0
T2396,2410,2377.22,Bill Payment,23,,New York,4,86,14,Debit Card,0
T2397,2530,2021.82,Bill Payment,21,Tablet,,0,89,4,Invalid Method,0
T2398,4328,4737.01,ATM Withdrawal,15,Tablet,Seattle,1,25,11,Credit Card,0
T2399,1569,1603.14,POS Payment,22,Tablet,Houston,3,116,5,Debit Card,0
T2400,4963,920.7,ATM Withdrawal,0,Mobile,Seattle,2,109,13,Debit Card,0
T2401,1933,1831.14,Bill Payment,6,Desktop,Miami,3,40,9,Credit Card,0
T2402,4598,3349.23,ATM Withdrawal,19,Mobile,Houston,2,110,12,Credit Card,1
T2403,4233,3488.33,POS Payment,0,Tablet,Chicago,4,13,14,Credit Card,0
T2404,2980,4620.67,Bill Payment,7,Mobile,Miami,1,93,4,UPI,0
T2405,4234,4409.36,Bank Transfer,15,Tablet,Boston,2,56,3,Debit Card,0
T2406,2855,1445.16,Bill Payment,12,Desktop,,0,71,1,Net Banking,0
T2407,4056,2278.54,ATM Withdrawal,,Mobile,San Francisco,2,9,2,UPI,0
T2408,1792,3737.61,ATM Withdrawal,13,Tablet,New York,2,3,12,Debit Card,0
T2409,1791,4583.1,Bill Payment,6,Desktop,Houston,4,115,3,UPI,0
T2410,4595,,Online Purchase,9,,,3,54,5,Net Banking,0
T2411,2809,2224.98,Online Purchase,11,Desktop,New York,0,6,1,Debit Card,0
T2412,2294,4497.89,Online Purchase,7,Desktop,Los Angeles,3,41,6,Debit Card,0
T2413,3539,1795.63,Bank Transfer,12,Mobile,,1,2,1,,0
T2414,3255,2405.16,Bank Transfer,0,Tablet,Boston,3,55,11,UPI,0
T2415,4610,4523,Bank Transfer,13,Tablet,Los Angeles,0,58,13,UPI,0
T2416,2607,4012.2,Bill Payment,23,Desktop,Chicago,1,85,6,Debit Card,0
T2417,2083,1220.94,Bill Payment,10,Tablet,Miami,4,64,13,Debit Card,0
T2418,3477,1627.35,POS Payment,9,Mobile,New York,1,37,1,Net Banking,0
T2419,1984,1768.03,Online Purchase,0,Unknown Device,Seattle,0,95,9,UPI,0
T2420,2680,4564.13,POS Payment,14,Desktop,Chicago,4,101,7,Credit Card,0
T2421,4676,4994.67,Online Purchase,9,Tablet,Chicago,1,7,7,Debit Card,0
T2422,4380,3871.15,ATM Withdrawal,8,Tablet,Miami,4,52,2,Debit Card,0
T2423,1519,2424.21,POS Payment,12,Mobile,San Francisco,0,113,1,Credit Card,0
T2424,1590,55.82,Bill Payment,22,Tablet,Chicago,1,101,8,Net Banking,1
T2425,2050,3488.95,ATM Withdrawal,12,Tablet,Seattle,0,40,4,Net Banking,0
T2426,2709,1949.86,POS Payment,7,Tablet,Houston,2,28,14,Net Banking,0
T2427,4633,3166.77,ATM Withdrawal,9,Tablet,Houston,1,15,13,Net Banking,0
T2428,3035,3035.44,ATM Withdrawal,13,Mobile,New York,1,15,2,Net Banking,0
T2429,3246,2406.76,ATM Withdrawal,4,Mobile,Seattle,4,106,7,Debit Card,0
T2430,3434,4722.22,Bill Payment,5,Desktop,Miami,4,79,11,Debit Card,0
T2431,1348,120.62,ATM Withdrawal,3,Tablet,Los Angeles,3,75,2,Credit Card,0
T2432,1959,3562.1,Bill Payment,11,Mobile,Miami,4,23,14,Debit Card,1
T2433,2963,2052.15,Bank Transfer,8,Desktop,Los Angeles,3,7,11,UPI,0
T2434,1692,3570.38,ATM Withdrawal,,Tablet,Los Angeles,4,66,8,Debit Card,0
T2435,2559,3377.72,Online Purchase,10,Desktop,Boston,0,85,5,Credit Card,0
T2436,4899,56.14,Bill Payment,23,Mobile,Seattle,0,107,8,Credit Card,0
T2437,1377,1430.27,Bank Transfer,1,Mobile,Miami,2,74,9,Net Banking,0
T2438,3946,949.51,Bill Payment,22,Desktop,San Francisco,3,70,8,Debit Card,0
T2439,3963,839.1,ATM Withdrawal,22,Tablet,Boston,4,106,2,Net Banking,0
T2440,4629,3643.74,Bill Payment,12,Desktop,Chicago,0,108,4,Credit Card,0
T2441,1526,1201.56,POS Payment,22,Tablet,,4,66,12,Debit Card,0
T2442,4224,2376.31,POS Payment,2,Tablet,Seattle,4,63,5,Debit Card,0
T2443,3781,1238.71,Online Purchase,17,Desktop,Miami,1,76,4,Credit Card,0
T2444,3253,2903.27,Bill Payment,0,Desktop,Houston,2,51,7,Net Banking,0
T2445,3502,3604.27,ATM Withdrawal,7,Desktop,Los Angeles,3,82,13,Debit Card,0
T2446,4344,1658.72,ATM Withdrawal,0,Mobile,Chicago,0,70,14,Credit Card,0
T2447,4965,3017.09,POS Payment,1,,San Francisco,0,55,10,,0
T2448,2259,4125.15,Bill Payment,14,Mobile,Houston,2,32,4,Credit Card,0
T2449,2875,475.65,ATM Withdrawal,,Mobile,Houston,4,85,3,,0
T2450,2763,3554.8,Bank Transfer,11,Unknown Device,Los Angeles,2,98,3,UPI,0
T2451,1520,1619.11,ATM Withdrawal,13,Tablet,Houston,1,8,10,Debit Card,0
T2452,2701,617.64,Bill Payment,22,Mobile,Boston,3,112,6,UPI,0
T2453,2016,2730.54,POS Payment,22,Tablet,New York,0,92,11,Invalid Method,0
T2454,4003,1135.18,Bank Transfer,9,Mobile,Houston,2,92,12,UPI,0
T2455,4902,4107.7,ATM Withdrawal,1,Desktop,New York,2,2,12,Debit Card,0
T2456,3773,219.27,Online Purchase,12,Tablet,Chicago,2,24,6,UPI,0
T2457,2013,497.77,Online Purchase,23,Desktop,Miami,4,51,12,Net Banking,0
T2458,3548,2607.38,POS Payment,2,Mobile,San Francisco,2,73,2,,0
T2459,1116,2946.76,Bank Transfer,1,Desktop,New York,4,108,6,Invalid Method,0
T2460,3433,3650.78,Online Purchase,13,Desktop,Miami,4,116,7,UPI,0
T2461,2367,1300.01,Online Purchase,1,Mobile,Boston,0,31,6,UPI,0
T2462,1583,4209.59,ATM Withdrawal,0,Mobile,San Francisco,1,112,2,Net Banking,0
T2463,1394,4765.95,Bill Payment,10,,Seattle,3,4,11,Net Banking,0
T2464,2087,2497.7,ATM Withdrawal,0,Desktop,New York,3,71,8,Debit Card,0
T2465,4788,3803.85,ATM Withdrawal,11,Mobile,San Francisco,4,79,8,Debit Card,0
T2466,3768,2626.62,POS Payment,22,Mobile,Miami,2,111,3,,1
T2467,1071,351.99,ATM Withdrawal,8,Mobile,Miami,2,93,4,Credit Card,0
T2468,4860,1633.93,Bank Transfer,13,Tablet,Houston,4,32,10,Debit Card,1
T2469,1273,442,Bank Transfer,21,Tablet,Boston,1,26,8,Net Banking,0
T2470,3013,4944.45,Bill Payment,14,Mobile,Houston,1,2,14,UPI,0
T2471,2343,1148.98,Online Purchase,7,Desktop,Seattle,0,45,13,UPI,0
T2472,1337,3181.32,Online Purchase,13,Tablet,Boston,3,65,8,UPI,0
T2473,2389,1425.3,Bill Payment,11,Mobile,Chicago,3,39,9,,0
T2474,4566,3267.96,Bill Payment,18,Tablet,Houston,3,59,6,UPI,0
T2475,1606,1055.96,ATM Withdrawal,11,Mobile,New York,4,80,8,Net Banking,0
T2476,1165,3927.42,POS Payment,1,Desktop,Miami,0,90,14,Debit Card,1
T2477,2567,558.5,Online Purchase,17,Desktop,New York,4,113,3,Net Banking,0
T2478,3058,4476.28,Online Purchase,0,Tablet,Los Angeles,3,28,1,Debit Card,0
T2479,2324,4202.91,Bill Payment,6,,San Francisco,0,85,7,Debit Card,0
T2480,1728,3395.64,Bill Payment,2,Desktop,Houston,4,116,5,UPI,0
T2481,3848,341.74,Online Purchase,19,Desktop,Miami,3,44,11,UPI,0
T2482,3043,1046.8,Online Purchase,,,Boston,0,55,1,Credit Card,0
T2483,1101,4297.51,ATM Withdrawal,,Mobile,Seattle,0,42,3,Debit Card,0
T2484,4496,614.26,Online Purchase,8,Desktop,Miami,2,109,6,Net Banking,0
T2485,2415,783.88,Bill Payment,20,Tablet,San Francisco,4,59,10,UPI,0
T2486,1778,2722.3,Bank Transfer,13,Desktop,Boston,1,7,11,UPI,0
T2487,1213,1374.52,Bank Transfer,2,Desktop,Los Angeles,1,66,8,Net Banking,0
T2488,4762,1114.27,Bank Transfer,14,Desktop,Boston,4,65,3,Net Banking,0
T2489,2111,2881.19,ATM Withdrawal,10,Mobile,Chicago,0,68,11,Net Banking,0
T2490,2576,1866.02,Bank Transfer,16,Mobile,Boston,2,40,14,Debit Card,0
T2491,3448,707.1,POS Payment,0,Mobile,Chicago,4,17,2,Credit Card,0
T2492,3635,2676.59,POS Payment,19,Desktop,Los Angeles,1,72,9,Credit Card,0
T2493,3936,1938.13,ATM Withdrawal,17,Desktop,Boston,1,46,6,,0
T2494,4117,3673.91,Bank Transfer,19,Mobile,Miami,2,109,11,UPI,1
T2495,2695,518.26,Bill Payment,12,Tablet,Houston,3,58,9,,0
T2496,4534,3104.96,ATM Withdrawal,8,Desktop,Seattle,2,81,11,Credit Card,0
T2497,1591,2185.28,Online Purchase,18,Tablet,Houston,1,116,4,Credit Card,0
T2498,2333,2033.28,ATM Withdrawal,11,Desktop,Miami,0,90,7,,0
T2499,2109,,POS Payment,16,Unknown Device,Chicago,1,16,14,Invalid Method,0
T2500,3139,49997.8,Bill Payment,16,Tablet,Chicago,1,25,14,Debit Card,0
T2501,4731,4239.21,Bank Transfer,3,Desktop,Boston,4,43,6,Debit Card,0
T2502,3720,1635.42,POS Payment,18,Unknown Device,Houston,2,68,8,Invalid Method,0
T2503,1713,3407.05,Bank Transfer,19,Desktop,Seattle,2,11,1,Debit Card,0
T2504,1935,4738.2,Bank Transfer,,,Chicago,1,78,12,Debit Card,0
T2505,2951,2827.13,ATM Withdrawal,19,Tablet,San Francisco,0,81,10,Credit Card,0
T2506,1241,1988.75,ATM Withdrawal,14,Desktop,Los Angeles,4,21,14,Net Banking,0
T2507,3043,1345.03,POS Payment,12,Tablet,Chicago,2,97,10,Net Banking,0
T2508,4936,4670.55,Bank Transfer,19,Tablet,Seattle,4,4,11,Debit Card,0
T2509,1001,3411.97,ATM Withdrawal,10,Tablet,San Francisco,3,9,10,Debit Card,1
T2510,3272,3328.08,POS Payment,10,Tablet,Chicago,3,109,10,UPI,0
T2511,3848,2133.66,Bank Transfer,19,Desktop,Miami,0,58,3,UPI,1
T2512,2768,4226.02,Online Purchase,19,Tablet,Miami,4,10,4,UPI,0
T2513,2949,3569.79,Online Purchase,20,Desktop,Miami,2,47,12,Credit Card,0
T2514,3636,1419.5,POS Payment,6,Desktop,Seattle,1,52,11,Debit Card,0
T2515,3163,2999.9,Online Purchase,17,Tablet,Chicago,3,23,4,Debit Card,0
T2516,4737,2153.82,Bill Payment,14,Tablet,New York,3,85,8,,0
T2517,1917,37.92,POS Payment,19,Tablet,New York,0,13,1,,0
T2518,4174,4039.08,POS Payment,10,Desktop,Miami,2,53,13,Credit Card,0
T2519,3241,618.54,Bank Transfer,6,Mobile,Los Angeles,0,44,3,,0
T2520,4237,2552.22,Bill Payment,11,Mobile,New York,2,42,3,Credit Card,0
T2521,3918,1684.45,POS Payment,4,Desktop,Houston,0,55,10,Credit Card,0
T2522,1089,1713.73,ATM Withdrawal,20,Desktop,Boston,0,47,8,Credit Card,0
T2523,2709,2389.44,POS Payment,7,Desktop,Boston,2,56,2,Net Banking,0
T2524,3169,4985.13,Bill Payment,9,Mobile,Los Angeles,0,90,3,Debit Card,1
T2525,1142,2044.86,POS Payment,22,Desktop,Miami,1,80,10,Net Banking,0
T2526,4041,915.73,Online Purchase,2,Mobile,Miami,0,56,9,Debit Card,0
T2527,1105,3069.96,Bill Payment,1,Mobile,Los Angeles,4,70,11,UPI,0
T2528,1886,1185.26,ATM Withdrawal,5,Mobile,Chicago,3,4,4,Credit Card,1
T2529,1427,532.22,Bill Payment,10,Tablet,San Francisco,4,101,9,UPI,0
T2530,2328,255.62,POS Payment,20,Desktop,New York,0,114,4,Net Banking,0
T2531,2895,119.29,ATM Withdrawal,15,Desktop,Chicago,4,92,7,Net Banking,0
T2532,2994,2158.67,ATM Withdrawal,8,Mobile,Chicago,4,92,6,UPI,0
T2533,1316,2136.5,ATM Withdrawal,11,Tablet,Boston,3,70,10,Net Banking,0
T2534,2986,931.8,Online Purchase,7,Mobile,Houston,2,98,14,Net Banking,0
T2535,1634,3921.18,Bill Payment,2,Mobile,Chicago,3,110,9,Debit Card,0
T2536,2925,650.71,POS Payment,11,Unknown Device,Miami,2,115,1,Debit Card,0
T2537,3056,4577.01,Online Purchase,12,Desktop,Boston,3,55,11,Debit Card,0
T2538,3821,,ATM Withdrawal,6,Tablet,,0,119,8,Credit Card,0
T2539,4144,142.94,POS Payment,9,Desktop,Houston,1,78,14,Debit Card,0
T2540,4430,4815.05,Bank Transfer,10,Mobile,Seattle,1,18,1,Net Banking,0
T2541,3270,1543.17,POS Payment,12,Mobile,Miami,3,47,1,UPI,0
T2542,2439,2252.62,Bank Transfer,17,Tablet,Boston,4,98,9,Credit Card,0
T2543,1552,1424.92,Bank Transfer,13,Mobile,Chicago,1,46,11,Debit Card,0
T2544,4441,3643.46,ATM Withdrawal,21,Desktop,San Francisco,3,76,1,Debit Card,0
T2545,1715,2430.97,Bank Transfer,,,Chicago,0,43,7,,0
T2546,2287,666.2,Online Purchase,16,Tablet,Houston,2,72,7,Net Banking,0
T2547,4911,525.5,ATM Withdrawal,14,Mobile,San Francisco,1,73,10,Credit Card,0
T2548,2713,3628.25,Bank Transfer,8,Mobile,,0,17,1,Debit Card,0
T2549,2883,1189.22,Bill Payment,1,Tablet,Chicago,3,117,2,,0
T2550,4389,693.28,Online Purchase,22,Mobile,Los Angeles,4,86,4,UPI,0
T2551,2107,2499.64,Bill Payment,14,Tablet,,3,93,6,Net Banking,0
T2552,2341,4014.81,POS Payment,3,Desktop,Chicago,3,93,5,Credit Card,0
T2553,1110,1397.52,Online Purchase,20,Desktop,Chicago,0,45,2,,0
T2554,1250,1385.78,Bill Payment,14,Desktop,Chicago,3,67,7,Debit Card,0
T2555,3430,4170.24,Bill Payment,2,Tablet,New York,3,95,9,Credit Card,0
T2556,3054,743.43,ATM Withdrawal,17,Unknown Device,Los Angeles,3,85,6,Debit Card,0
T2557,1458,3085.55,POS Payment,15,Tablet,Seattle,4,3,1,Credit Card,0
T2558,2107,4775.29,Online Purchase,10,Mobile,Miami,4,38,6,UPI,0
T2559,1207,4207.31,Online Purchase,0,Desktop,San Francisco,4,13,11,UPI,0
T2560,1899,313.77,Online Purchase,22,Mobile,Seattle,1,112,1,Credit Card,1
T2561,4461,1602.95,Bank Transfer,,Tablet,New York,0,102,13,Credit Card,0
T2562,4385,716.16,Online Purchase,15,Tablet,Miami,2,45,10,UPI,0
T2563,1021,4746.46,Bank Transfer,9,Tablet,Boston,3,18,3,Credit Card,0
T2564,1409,4929.78,ATM Withdrawal,,Tablet,Houston,0,55,1,Net Banking,0
T2565,1894,1178.79,Bank Transfer,9,Mobile,New York,0,84,4,Debit Card,0
T2566,1514,3350.15,POS Payment,11,Desktop,San Francisco,1,99,12,Net Banking,1
T2567,4198,4208.95,Bank Transfer,9,,,1,119,14,Debit Card,0
T2568,1808,1172.23,POS Payment,0,Tablet,Chicago,4,64,4,UPI,1
T2569,4771,942.46,POS Payment,9,Desktop,Houston,0,1,6,Net Banking,0
T2570,1873,61,POS Payment,,Desktop,Houston,3,54,7,Credit Card,0
T2571,1013,2062.75,POS Payment,5,Desktop,Miami,4,65,13,Credit Card,0
T2572,1970,4497.69,Online Purchase,9,Mobile,New York,4,76,4,UPI,0
T2573,4025,4515.38,POS Payment,15,Mobile,San Francisco,1,98,5,UPI,0
T2574,4061,643.08,Bill Payment,16,Tablet,Los Angeles,3,112,5,,0
T2575,4083,1025.74,ATM Withdrawal,20,Tablet,Los Angeles,2,31,4,Credit Card,0
T2576,3134,2043.2,Bill Payment,21,Tablet,Chicago,2,104,1,UPI,0
T2577,4595,3904.22,Online Purchase,7,Mobile,Los Angeles,1,95,4,Debit Card,0
T2578,3956,3061.2,POS Payment,10,Desktop,Seattle,4,35,10,Debit Card,0
T2579,2560,2571.68,Bank Transfer,2,Desktop,San Francisco,3,11,13,UPI,0
T2580,2324,2961.7,Online Purchase,12,Desktop,Chicago,0,80,4,UPI,0
T2581,2266,485.52,ATM Withdrawal,19,Desktop,Seattle,2,70,11,Credit Card,0
T2582,3169,2390.93,Bank Transfer,12,Mobile,Houston,2,42,4,Invalid Method,0
T2583,4218,4960.36,Bank Transfer,12,Desktop,Los Angeles,0,8,13,Credit Card,1
T2584,4638,446.79,POS Payment,5,Desktop,Chicago,1,81,12,Net Banking,0
T2585,1749,2598.64,ATM Withdrawal,10,Tablet,Miami,0,27,8,Net Banking,0
T2586,4427,1481.77,ATM Withdrawal,6,Tablet,New York,0,24,7,UPI,0
T2587,1684,2701.87,Bank Transfer,7,Tablet,Seattle,1,19,5,Credit Card,0
T2588,2927,2871.22,ATM Withdrawal,9,Tablet,Los Angeles,0,22,1,Net Banking,0
T2589,4804,,Bill Payment,7,Unknown Device,Los Angeles,2,17,8,Net Banking,0
T2590,4702,4261.78,POS Payment,13,Mobile,Los Angeles,1,4,7,Net Banking,0
T2591,3356,1951.79,POS Payment,18,Tablet,Chicago,2,3,5,Debit Card,0
T2592,1694,2584.19,Bill Payment,16,Mobile,Houston,0,105,12,Credit Card,0
T2593,3335,59.59,Bill Payment,19,Tablet,New York,3,115,6,Net Banking,0
T2594,1306,3948.81,ATM Withdrawal,1,Mobile,Boston,0,69,9,UPI,0
T2595,4883,1301.14,Bank Transfer,2,Tablet,Los Angeles,0,20,9,Credit Card,0
T2596,4665,4083.69,ATM Withdrawal,6,Tablet,Houston,4,95,11,UPI,0
T2597,2989,1331.87,Bill Payment,0,Desktop,San Francisco,3,72,8,Debit Card,0
T2598,3961,58.89,POS Payment,12,Desktop,Houston,4,47,10,Debit Card,0
T2599,4794,,POS Payment,4,Tablet,Miami,0,90,2,Debit Card,0
T2600,1661,4928.49,POS Payment,9,Desktop,Los Angeles,3,29,2,Debit Card,0
T2601,1548,1602.41,ATM Withdrawal,13,Mobile,Boston,3,92,1,UPI,0
T2602,4423,548.58,Bill Payment,9,Desktop,Miami,0,41,4,Net Banking,0
T2603,1311,598.2,Bank Transfer,1,Tablet,San Francisco,0,116,3,Invalid Method,0
T2604,3920,1555.16,ATM Withdrawal,11,,San Francisco,4,64,7,Net Banking,0
T2605,2082,,POS Payment,22,Desktop,Seattle,0,117,14,UPI,1
T2606,4714,2559.89,Bill Payment,14,Mobile,Miami,0,111,7,Debit Card,0
T2607,3971,1072.64,Bank Transfer,,Mobile,Seattle,0,113,8,Credit Card,0
T2608,2737,2598.96,Online Purchase,13,Desktop,Miami,4,18,7,Net Banking,0
T2609,1754,708.12,ATM Withdrawal,20,Desktop,San Francisco,0,58,6,UPI,0
T2610,1034,2152.14,Online Purchase,20,Mobile,San Francisco,2,78,3,Net Banking,0
T2611,1444,2991.59,Bill Payment,7,Desktop,Houston,0,59,5,,0
T2612,3140,314.69,Online Purchase,17,Mobile,Chicago,0,62,9,Invalid Method,0
T2613,2982,,POS Payment,13,,Boston,1,95,13,Credit Card,0
T2614,2230,1516.11,ATM Withdrawal,20,Mobile,Los Angeles,3,10,11,Debit Card,0
T2615,1352,1205.6,Bank Transfer,3,Tablet,New York,4,57,2,Debit Card,0
T2616,1902,49997.8,POS Payment,0,Desktop,Houston,0,5,14,Invalid Method,0
T2617,2355,2944.77,Bill Payment,13,Tablet,New York,1,87,13,Net Banking,0
T2618,4888,3155.35,ATM Withdrawal,16,Tablet,Seattle,3,108,3,Net Banking,0
T2619,3909,798.62,Bill Payment,23,Tablet,Los Angeles,0,71,14,UPI,0
T2620,2748,1432.12,Bill Payment,15,Desktop,Seattle,3,108,12,UPI,0
T2621,1158,1052.35,Bill Payment,1,Mobile,Miami,4,64,10,Debit Card,0
T2622,2977,2704.82,ATM Withdrawal,22,Tablet,Boston,3,83,4,Debit Card,0
T2623,1956,2308.02,POS Payment,12,Desktop,New York,3,105,11,Net Banking,0
T2624,3071,1654.82,Bill Payment,5,Mobile,Boston,1,92,8,Net Banking,0
T2625,1403,3931.14,Bank Transfer,13,Desktop,Seattle,1,55,9,UPI,0
T2626,3852,474.4,POS Payment,4,Tablet,Los Angeles,2,24,9,Credit Card,0
T2627,1515,4874.61,Bill Payment,22,Desktop,Miami,3,27,4,Credit Card,0
T2628,3779,587.14,ATM Withdrawal,11,Desktop,New York,1,33,10,Credit Card,0
T2629,2387,3866.49,Bill Payment,12,Mobile,Seattle,1,91,14,Credit Card,0
T2630,4453,,Bill Payment,15,Desktop,Boston,0,5,10,Debit Card,0
T2631,3579,4326.98,Online Purchase,6,Desktop,Miami,2,87,7,Credit Card,0
T2632,1955,375.48,Online Purchase,11,Tablet,Houston,4,6,13,Credit Card,0
T2633,3199,1876.73,POS Payment,14,Tablet,Boston,3,2,1,Debit Card,0
T2634,4633,1680.54,Online Purchase,16,Mobile,Houston,0,107,5,Debit Card,0
T2635,2712,4965.82,ATM Withdrawal,4,Desktop,Miami,4,71,14,Net Banking,0
T2636,3994,4927.82,Online Purchase,11,Tablet,New York,2,117,12,UPI,1
T2637,1607,,ATM Withdrawal,7,Mobile,,0,11,3,,0
T2638,4688,3151.59,Bill Payment,8,Desktop,Seattle,2,2,12,Net Banking,0
T2639,3467,2679.92,POS Payment,11,Tablet,Houston,4,56,8,Net Banking,0
T2640,2273,776.1,Online Purchase,21,Tablet,New York,4,27,5,Net Banking,0
T2641,4188,843.06,Online Purchase,13,Tablet,Chicago,3,64,11,Net Banking,0
T2642,3913,4946.31,POS Payment,7,Mobile,New York,4,90,7,Net Banking,0
T2643,2535,2266.39,ATM Withdrawal,23,Tablet,San Francisco,2,86,8,UPI,0
T2644,4811,49997.8,ATM Withdrawal,19,Tablet,Seattle,0,113,5,Credit Card,0
T2645,3625,1077.88,Online Purchase,8,Mobile,New York,4,116,8,Invalid Method,0
T2646,3382,1345.4,ATM Withdrawal,14,Mobile,Seattle,1,89,6,,0
T2647,2441,2557.03,ATM Withdrawal,2,Tablet,New York,4,107,11,Invalid Method,0
T2648,3979,1681.06,Online Purchase,20,Desktop,New York,3,66,14,Credit Card,0
T2649,2797,2277.78,Online Purchase,0,Tablet,Seattle,2,100,7,Debit Card,0
T2650,1294,836.67,Online Purchase,5,Desktop,New York,1,13,4,Credit Card,0
T2651,1754,1637.01,Bank Transfer,15,Desktop,Los Angeles,2,75,2,UPI,1
T2652,2394,356.23,Online Purchase,9,Desktop,New York,1,42,13,UPI,0
T2653,1185,4449.1,Bank Transfer,21,Tablet,Seattle,0,112,6,UPI,0
T2654,2269,997.77,Bill Payment,13,Tablet,Boston,2,95,2,Net Banking,0
T2655,1636,3785.72,ATM Withdrawal,7,Tablet,Boston,3,81,7,UPI,1
T2656,2291,1751.01,Bank Transfer,1,Tablet,Chicago,1,68,2,Credit Card,0
T2657,4714,2374.61,Bill Payment,0,Desktop,Seattle,4,75,10,UPI,0
T2658,4308,1459.85,ATM Withdrawal,6,Desktop,Los Angeles,0,99,5,UPI,0
T2659,1529,3483.72,ATM Withdrawal,15,Desktop,Seattle,1,57,8,UPI,0
T2660,4623,4223.51,ATM Withdrawal,17,Desktop,Los Angeles,0,115,14,Net Banking,0
T2661,3068,1434.92,POS Payment,19,Desktop,Houston,2,87,1,Net Banking,0
T2662,3958,1214.88,POS Payment,2,Tablet,Chicago,2,37,13,Debit Card,0
T2663,4808,3408.79,Bank Transfer,21,Desktop,Seattle,3,40,10,Credit Card,0
T2664,3914,979.79,Bank Transfer,12,Mobile,Houston,0,54,13,Net Banking,0
T2665,1793,3201,ATM Withdrawal,2,Tablet,Houston,1,79,7,Net Banking,0
T2666,4591,476.67,Bill Payment,0,Mobile,Chicago,4,1,3,UPI,0
T2667,3147,3102.59,Bank Transfer,23,Mobile,Seattle,3,57,7,UPI,0
T2668,3799,2569.47,Online Purchase,12,Mobile,Chicago,2,105,12,UPI,0
T2669,1477,573.96,Online Purchase,14,Tablet,New York,1,22,10,UPI,0
T2670,2622,3247.27,Bank Transfer,2,Desktop,San Francisco,1,48,8,UPI,0
T2671,4369,,Bill Payment,,Desktop,New York,4,55,12,UPI,0
